DOI,Title,Created,AuthorGiven,AuthorFamily,AuthorAffiliation,SecondaryAuthorGiven,SecondaryAuthorFamily,SecondaryAuthorAffiliation
10.1016/s0378-4320(19)30721-3,Introducing article numbering to Animal Reproduction Science,2019-08-09T14:24:01.000Z,,,,,,
10.3366/edinburgh/9781474446389.003.0004,The Turin Horse: Animal Labour and Lines of Flight,2020-01-23T10:48:50.000Z,Laura,McMahon,,,,
10.1093/oso/9780198846192.003.0010,Animal Labour in a Post-Work Society,2020-01-23T10:55:06.000Z,Sue,Donaldson,,Will,Kymlicka,
10.1525/9780520971059-008,5. The Animal Commons,2019-05-07T05:58:46.000Z,,,,,,
10.1093/oso/9780190464622.003.0007,Of Animal Heads and Animal Tales,2019-05-23T08:03:46.000Z,Stanley,Finger,,,,
10.1525/9780520971059-009,Conclusion: The Other Animal,2019-05-07T09:58:46.000Z,,,,,,
10.1093/oso/9780198843702.003.0002,Animal minds,2019-12-19T05:59:24.000Z,Peter,Carruthers,,,,
10.1017/9781108277877.007,Animal Protection and the “Link” Between Animal Abuse and Human Violence,2019-04-10T12:08:42.000Z,,,,,,
10.1163/9789004415072_011,Summary,2019-10-15T02:01:08.000Z,Judith,Benz-Schwarzburg,,Mark,Kanak,
10.12968/coan.2019.24.5.234,Small Animal Review,2019-04-30T17:40:01.000Z,Bryn,Tennant,Capital Diagnostics, SAC Consulting Veterinary Services,,,
10.12968/coan.2019.24.6.286,Small Animal Review,2019-06-21T13:45:13.000Z,Bryn,Tennant,Capital Diagnostics, SAC Consulting Veterinary Services,,,
10.12968/coan.2019.0063,Small Animal Review,2019-12-18T17:16:29.000Z,Bryn,Tennant,Capital Diagnostics, SRUC Veterinary Services,,,
10.1016/j.anbehav.2019.03.001,Animal communication-  cognition-  and the evolution of language,2019-04-03T12:40:13.000Z,William A.,Searcy,,,,
10.12968/coan.2020.0021,Small Animal Review,2020-03-30T18:23:13.000Z,Bryn,BVSc PhD MRCVS,Capital Diagnostics, SRUC Veterinary Services,,,
10.1093/med-psych/9780190697266.003.0006,Animal Models in Psychiatry,2020-03-26T10:44:42.000Z,Richard,McCarty,,,,
10.1093/oso/9780198846192.003.0005,Animal Labour,2020-01-23T10:29:28.000Z,Charlotte E.,Blattner,,,,
10.3366/edinburgh/9781474446389.003.0002,Cinematic Time and Animal Worlds,2020-01-23T10:34:33.000Z,Laura,McMahon,,,,
10.1093/oso/9780198846192.003.0006,Alienation and Animal Labour,2020-01-23T10:26:51.000Z,Omar,Bachour,,,,
10.1093/oso/9780198846192.003.0008,The Meaning of Animal Labour,2020-01-23T10:52:37.000Z,Nicolas,Delon,,,,
10.1163/9789004415072,Cognitive Kin-  Moral Strangers? Linking Animal Cognition-  Animal Ethics & Animal Welfare,2019-08-31T02:03:13.000Z,Judith,Benz-Schwarzburg,,,,
